"decimalLatitude","decimalLongitude","count"
48.34836,-123.72509,243
48.35795,-123.78189,27
48.39497,-123.47629,96
48.4036,-123.37396,227
48.40464,-123.3012,141
48.41886,-123.42106,147
48.42262,-123.39267,119
48.44079,-123.38557,57
48.44337,-123.44196,42
48.44906,-123.28538,86
48.45846,-123.42205,46
48.48342,-123.28604,142
48.53059,-123.35959,106
48.56482,-123.35779,132
48.56615,-123.47546,51
48.58496,-123.36158,170
48.59516,-123.48022,73
48.59865,-123.38338,107
48.62235,-123.39435,155
48.63015,-123.52567,123
48.63507,-123.4808,66
48.65127,-123.54328,138
48.65549,-123.4617,32
48.65556,-123.38667,134
48.66663,-123.39063,129
48.67311,-123.48669,83
48.67353,-123.40328,156
48.70896,-123.5483,163
48.76167,-123.12399,11
48.7732,-123.08731,34
48.77669,-123.67883,126
48.78251,-123.21178,42
48.7924,-123.19886,26
48.79641,-123.66786,131
48.80047,-123.19418,42
48.83083,-123.40746,138
48.83437,-125.13733,11
48.84017,-125.14681,11
48.85033,-123.48666,133
48.85739,-123.27141,182
48.92733,-125.52875,60
48.95096,-125.56847,144
49.00851,-125.68527,44
49.01249,-122.79316,189
49.01398,-123.03569,168
49.01432,-123.11112,16
49.01799,-122.81878,204
49.0201,-122.84441,195
49.02361,-122.87424,164
49.03654,-125.69771,19
49.04111,-123.03708,62
49.04239,-123.15055,51
49.04256,-122.8887,154
49.06212,-122.88156,284
49.07968,-122.91175,110
49.08322,-122.87205,157
49.10293,-123.19048,189
49.13274,-123.20408,171
49.13419,-125.8844,65
49.1506,-124.79942,139
49.15334,-123.90654,141
49.16975,-125.89324,13
49.17427,-123.92764,118
49.1794,-124.82157,108
49.18366,-123.9423,74
49.18712,-123.91398,107
49.20144,-123.95191,114
49.20882,-123.93444,88
49.22659,-123.94157,171
49.22698,-123.24157,187
49.23855,-123.96743,189
49.23938,-124.82652,203
49.24602,-124.00177,100
49.24829,-123.24859,47
49.25307,-124.03703,109
49.26061,-124.06832,130
49.26314,-124.09996,155
49.26331,-124.14767,130
49.26436,-124.18269,170
49.2684,-123.26769,88
49.2724,-123.12066,60
49.27867,-123.17784,78
49.27882,-123.16014,85
49.28026,-123.193,93
49.2812,-123.14641,89
49.28294,-123.25597,95
49.28299,-123.2096,91
49.28372,-122.84952,72
49.28512,-123.23291,120
49.28884,-122.84759,81
49.29057,-123.15433,44
49.29267,-122.89831,32
49.29345,-122.93437,91
49.29659,-123.0071,5
49.29726,-123.14133,91
49.30285,-123.00034,44
49.30291,-123.16144,43
49.30933,-123.12574,32
49.31011,-124.22653,169
49.31581,-123.15285,52
49.31824,-124.25065,243
49.32156,-123.14718,171
49.32602,-123.17043,94
49.33127,-123.25845,43
49.33264,-123.19678,84
49.33461,-124.2935,148
49.33508,-123.23889,107
49.33547,-123.27662,49
49.33655,-123.21832,112
49.35328,-123.27927,99
49.35947,-124.38645,198
49.36002,-123.29074,71
49.37348,-123.29644,61
49.38365,-123.2865,11
49.39307,-123.56424,120
49.40314,-124.60516,70
49.41046,-123.25233,36
49.4129,-123.63418,144
49.42195,-123.66207,102
49.43454,-123.70541,80
49.4581,-124.74217,209
49.47163,-123.84618,173
49.4801,-124.72216,78
49.48598,-124.75306,134
49.48789,-124.66357,117
49.49159,-124.67644,13
49.49606,-123.93046,151
49.49634,-124.6813,89
49.49768,-124.63154,74
49.50369,-124.25267,39
49.50436,-124.66575,63
49.50437,-124.62879,154
49.50464,-124.77954,74
49.50548,-124.72196,70
49.50633,-123.91321,119
49.50806,-124.25436,47
49.51232,-124.30828,28
49.51365,-124.62937,11
49.5138,-124.60146,21
49.51406,-124.71396,104
49.5143,-124.58467,76
49.51541,-124.79686,1
49.51969,-124.5784,124
49.52043,-124.63456,65
49.52428,-124.62976,78
49.52699,-124.7406,92
49.53236,-124.60558,122
49.53628,-124.61315,111
49.53787,-124.71963,130
49.54341,-124.75273,169
49.54527,-124.63635,90
49.54638,-124.64643,120
49.55276,-124.70012,109
49.55633,-124.6633,125
49.5573,-124.85068,158
49.59448,-124.87814,198
49.6015,-124.83936,61
49.60939,-124.84823,187
49.64036,-124.91422,124
49.64977,-124.93274,223
49.66598,-124.90928,157
49.66615,-123.21218,17
49.66656,-124.4824,103
49.66881,-124.92774,54
49.66923,-124.94118,61
49.67036,-124.97138,171
49.67847,-124.9668,101
49.67863,-124.98117,179
49.67977,-123.17326,85
49.68679,-123.15125,47
49.6878,-124.97797,98
49.68952,-123.17823,22
49.68973,-123.16287,82
49.69147,-123.16659,111
49.69235,-123.1536,87
49.69588,-123.18508,49
49.6968,-123.16611,57
49.69728,-123.17045,155
49.69811,-123.16023,82
49.69892,-123.17416,79
49.70142,-123.17918,29
49.70156,-123.16637,58
49.704,-123.17904,96
49.70635,-123.14478,55
49.70688,-123.16345,50
49.71089,-123.15183,36
49.71258,-123.16456,33
49.71387,-124.86969,190
49.71481,-123.16015,78
49.71578,-123.16751,19
49.73747,-124.90129,183
49.74802,-124.92876,180
49.81891,-124.5321,133
49.87197,-125.10461,182
49.87981,-124.61327,134
49.9082,-125.14962,177
49.98027,-126.85038,85
50.04885,-125.25139,253
50.59313,-127.09948,115
50.67821,-127.11161,119
50.78752,-126.41112,159
54.11646,-131.72535,53
NA,NA,2186
